school_name	district_name	hs_student_pop	grades	col_readiness	econdis	Hs_minority
ALLEN H S	ALLEN ISD	5328	9 to 12	64.4	18.8	52.3
ANNA H S	ANNA ISD	1080	9 to 12	30.6	45.4	53.6
CELINA H S	CELINA ISD	914	9 to 12	49.3	17.3	34.7
FARMERSVILLE H S	FARMERSVILLE ISD	590	9 to 12	36.4	45.4	47.1
FRISCO H S	FRISCO ISD	1835	9 to 12	61.5	20.8	58.4
WAKELAND H S	FRISCO ISD	2098	9 to 12	81	4.3	31.9
LIBERTY H S	FRISCO ISD	2002	9 to 12	74.6	10.2	62.6
HERITAGE H S	FRISCO ISD	2101	9 to 12	66.5	13.7	65.6
LONE STAR H S	FRISCO ISD	2145	9 to 12	54.6	16.5	60.3
INDEPENDENCE H S	FRISCO ISD	2278	9 to 12	62.3	12.2	63.3
REEDY H S	FRISCO ISD	2100	9 to 12	76.8	5.4	52.2
LEBANON TRAIL H S	FRISCO ISD	1886	9 to 12	72.8	12.1	63.7
MEMORIAL H S	FRISCO ISD	1820	9 to 12	55.2	16.6	59
MCKINNEY H S	MCKINNEY ISD	2975	9 to 12	47.5	35.2	59.5
MCKINNEY NORTH H S	MCKINNEY ISD	2142	9 to 12	48	26.9	51.8
MCKINNEY BOYD H S	MCKINNEY ISD	2742	9 to 12	65.8	19.1	39.9
MELISSA H S	MELISSA ISD	1145	9 to 12	38.9	14.2	39.6
PLANO SR H S	PLANO ISD	2515	11 to 12	55.5	32.2	58.7
PLANO EAST SR H S	PLANO ISD	3119	9 to 12	58.5	34	74.4
PLANO ISD ACADEMY H S	PLANO ISD	415	9 to 12	68.9	18.8	43.9
PLANO WEST SENIOR H S	PLANO ISD	2715	11 to 12	70.3	24	64.9
PRINCETON H S	PRINCETON ISD	1606	9 to 12	60.5	46.3	67.1
PROSPER H S	PROSPER ISD	2804	9 to 12	56.4	7	33.4
WYLIE H S	WYLIE ISD	2871	9 to 12	64.3	21.5	54.6
WYLIE EAST H S	WYLIE ISD	2222	9 to 12	54.2	27.7	50.2
BLUE RIDGE H S	BLUE RIDGE ISD	282	9 to 12	30.8	38.3	33
COMMUNITY H S	COMMUNITY ISD	771	9 to 12	55.5	45	48.4
LOVEJOY H S	LOVEJOY ISD	1567	9 to 12	84.8	3.7	26
TURNER H S	CARROLLTON-FARMERS BRANCH ISD	2135	9 to 12	39.3	74.3	90.7
SMITH H S	CARROLLTON-FARMERS BRANCH ISD	1992	9 to 12	34.6	73.2	90.8
CREEKVIEW H S	CARROLLTON-FARMERS BRANCH ISD	1724	9 to 12	61.4	56.1	78.9
RANCHVIEW H S	CARROLLTON-FARMERS BRANCH ISD	933	9 to 12	78.2	52	88.4
EARLY COLLEGE H S	CARROLLTON-FARMERS BRANCH ISD	341	9 to 12	97.6	76.2	96.2
CEDAR HILL H S	CEDAR HILL ISD	2276	9 to 12	20.6	60.8	97.2
CEDAR HILL COLLEGIATE H S	CEDAR HILL ISD	365	9 to 12	97.6	39.7	95.1
BRYAN ADAMS H S	DALLAS ISD	2215	9 to 12	14.7	87.4	94.5
W H ADAMSON H S	DALLAS ISD	1558	9 to 12	14.4	96.9	99
NEW TECH H S AT B F DARRELL H S	DALLAS ISD	321	9 to 12	16.4	90.7	96.3
MOISES E MOLINA H S	DALLAS ISD	2155	9 to 12	9.9	88.5	98.7
HILLCREST H S	DALLAS ISD	1488	9 to 12	17.2	78.8	90.7
THOMAS JEFFERSON H S	DALLAS ISD	1605	9 to 12	17	81.4	98.8
JUSTIN F KIMBALL H S	DALLAS ISD	1436	9 to 12	9.3	95.4	98.1
LINCOLN HUMANITIES/COMMUNICATIONS	DALLAS ISD	689	9 to 12	0.9	88.1	99.9
L G PINKSTON H S	DALLAS ISD	1268	7 to 12	30.2	92.7	98.9
FRANKLIN D ROOSEVELT H S	DALLAS ISD	690	9 to 12	19.7	92.3	98
W W SAMUELL H S	DALLAS ISD	1940	9 to 12	19.9	86.3	98.6
SEAGOVILLE H S	DALLAS ISD	1642	9 to 12	20.5	89.8	92.9
